제목,태그,이용 연령,작가,요일,평균 평점,선호작 수
네 것이었던 것,#드라마,15,"아이아리,바",일요웹툰,9.839,13684
흔한 빙의물인 줄 알았다,#로맨스#로판#소설원작,0,"레몬개구리,아진,DOYOSA",수요웹툰,9.964,63419
"아, 쫌 참으세요 영주님!",#로맨스#소설원작,12,"새우초밥,dayboo",월요웹툰,9.957,119560
애옹식당,#성장드라마#동물#무해한#힐링#일상#음식&요리,0,정다,화요웹툰,9.964,97263
망나니 소교주로 환생했다,#소설원작#오컬트#회귀#무협/사극#레드아이스 스튜디오,12,"전마두,대은호,재",토요웹툰,9.875,208205
마른 가지에 바람처럼,#로맨스#소설원작#이세계#구원서사,12,"화음,달새",수요웹툰,9.98,456544
역주행!,#드라마#아이돌#연예계#아이돌연애,0,김현,월요웹툰,9.899,47121
은밀한 재택근무,#친구>연인#로맨스코미디#현실로맨스#로맨스#직진남#2030연애#재벌,12,"주황연,타단,굴",화요웹툰,9.864,20100
나의 불편한 상사,#오피스로맨스#로맨스#소설원작,0,"이다홍,탄지,남은",목요웹툰,9.849,86186
선을 넘은 연애,#다정남#2021 최강자전#하이틴#소꿉친구#로맨스#햇살캐#학원로맨스,0,서,금요웹툰,9.978,253884
내가 죽기로 결심한 것은,#집착물#재회#폭스남#로맨스#청춘로맨스,15,YUJ,수요웹툰,9.874,591553
그림자 잡기,#스릴러,12,최,일요웹툰,9.322,6624
루루라라 우리네 인생,#무해한#일상,0,현이,"월, 목 연재",9.966,27846
포스트 팬데믹,#소설원작#스릴러,15,"좡좡,한산이가,영",월요웹툰,9.887,19070
악몽의 형상,#스릴러,15,김용,"화, 토 연재",9.927,122257
최후의 금빛아이,#성장드라마#이세계#판타지,12,"알깨,새",월요웹툰,9.968,62654
올가미,#집착물#혐관로맨스#고자극로맨스#드라마#폭스남#인외존재#뱀파이어,15,해무,화요웹툰,9.982,480755
예명여고,#오컬트#괴담#스릴러,15,육,토요웹툰,9.935,34470
좀간,#액션,15,"다이,옹",수요웹툰,9.956,108543
미래의 골동품 가게,#오컬트#스릴러,15,구아,수요웹툰,9.98,246150
순수한 동거생활,#소설원작#사내연애#현실로맨스#연상연하#로맨스#오피스로맨스,12,"성은,플아",목요웹툰,9.898,154383
방과후 레시피,#청춘로맨스#로맨스#감성드라마#학원로맨스#힐링#음식&요리,0,혜,목요웹툰,9.964,95687
나노마신,#소설원작#사이다#무협/사극#이능력배틀물#게임판타지,15,"한중월야,금강불괴,현절",목요웹툰,9.742,502587
꿈의 기업,#sf#아포칼립스#스릴러,12,문지,월요웹툰,9.94,117756
매지컬 급식:암살법사,#학원물#이능력배틀물#판타지,0,웡웡,월요웹툰,9.951,26749
마녀이야기,#판타지,0,원,화요웹툰,8.841,7666
하루의 하루,#드라마,0,김이,월요웹툰,9.868,57046
내곁엔 없을까,#로맨스,0,쑤,일요웹툰,9.977,87590
흑화한 노예남을 길들였다,#로맨스#소설원작,15,"LICO,보랏빛마",토요웹툰,9.93,85475
서브 남주가 파업하면 생기는 일,#소설원작#로판#판타지,0,"쓰레빠인간,숙임,해그",월요웹툰,9.979,63295
DARK MOON: 회색 도시,#다크판타지#느와르#세계관#판타지,12,HYB,화요웹툰,9.808,15634
대충 캠퍼스로맨스임,#삼각관계#로맨스#로맨스코미디#캠퍼스로맨스,15,공철,토요웹툰,9.979,277553
배달의 신,#드라마#음식&요리,0,"신얼,명",토요웹툰,9.936,66631
천하제일 대사형,#환골탈태#소설원작#무협/사극,15,"YooN,북미",금요웹툰,9.964,61181
집이 없어,#성장드라마#드라마#오컬트#학원물,0,와,화요웹툰,9.988,405242
패션쇼,#드라마,0,로커,일요웹툰,9.87,16485
천마는 평범하게 살 수 없다,#소설원작#판타지,15,"철범,산천,우",화요웹툰,9.376,168312
천재의 게임방송,#소설원작#액션#게임판타지,0,"다넛,지금,하이엔",목요웹툰,7.365,57413
시에라,#로맨스#소설원작,0,"Rana,문",목요웹툰,9.855,76701
신의 탑,#소년왕도물#먼치킨#세계관#판타지#이능력배틀물,12,SI,월요웹툰,9.706,1971115
하렘의 남자들,#소설원작#이세계#로맨스#궁중로맨스#역하렘#로판,12,"알파타르트,히어리,영",수요웹툰,9.966,344488
백년게임,#판타지,12,"하람,지",금요웹툰,9.8,76057
나의 계절,#로맨스,15,박수,수요웹툰,9.778,35076
애구애구,#동물#드라마#감성드라마#무해한#힐링,0,가,토요웹툰,9.962,30432
왕따가 격투기를 너무 잘함,#소설원작#액션,15,"팀꿀빨,아몬드",수요웹툰,9.538,59540
누나! 나 무서워,#4차원#괴담#학원물#스릴러,15,디,목요웹툰,9.894,74449
허리케인 공주님,#성장드라마#개그#학원물#이세계,0,랑,일요웹툰,9.981,63923
코인 리벤지,#액션,15,박성,목요웹툰,9.912,38650
세번째 로망스,#전남친#로맨스#타임슬립,0,문,월요웹툰,9.95,70952
남편을 만렙으로 키우려 합니다,#회귀#로맨스#선결혼후연애#소설원작,12,"누오바,컬린,유기",토요웹툰,9.972,192779
잿더미 황후,#로맨스#소설원작,15,"스튜디오BCW,별보",일요웹툰,9.82,39294
나를 낳아줘,#현실로맨스#드라마,15,"연주,미",수요웹툰,9.731,45516
나 혼자 특성빨로 무한 성장,#소설원작#레드아이스 스튜디오#먼치킨#헌터물#액션,15,"선운(鮮雲),샤이아탄,2사",일요웹툰,9.128,105679
캐슬2:만인지상,#드라마,15,정,수요웹툰,9.966,176146
여자를 사귀고 싶다,#성장드라마#개그#공감성수치#블루스트링#2030연애#청춘로맨스,15,"노갓량,영",금요웹툰,9.441,55420
소름일기,#오컬트#괴담#스릴러,15,석재,금요웹툰,9.816,43162
사랑하는 여배우들,#로맨스#연예계,0,"수정,고나리",목요웹툰,9.962,22498
"이혼은 쉬운데, 연애는 어렵다",#직업드라마#다정남#로맨스코미디#러블리#로맨스#2030연애#짝사랑,12,"수빙,쥬시린시,팔가",수요웹툰,9.913,29158
전생연분,#로맨스#레드스트링,15,"재아,HA",토요웹툰,9.953,209738
미나 이퀄,#액션#성인웹툰,18,이유,토요웹툰,9.492,47413
내겐 너무 소란한 결혼,#소설원작#로맨스코미디#현실로맨스#로맨스#선결혼후연애,15,"포스스튜디오,노승아,이지",수요웹툰,9.94,58106
흑막 여주가 날 새엄마로 만들려고 해,#소설원작#육아물#로맨스#빙의#로판,0,"목감기,하리힌,이산",목요웹툰,9.978,262497
마왕까지 한 걸음,#힘숨찐#판타지,15,윤,목요웹툰,9.94,142918
개를 낳았다,#드라마#감성드라마#무해한#동물,0,이,금요웹툰,9.975,507355
해골협객,#판무#좀비#빙의#무협/사극#차원이동,15,"성불예정,준",화요웹툰,8.71,19965
남사친의 법칙,#청춘로맨스#하이틴#현실로맨스#로맨스#학원로맨스#짝사랑,0,이도,수요웹툰,9.965,79319
그 남자의 은밀한 하루,#계약연애#소설원작#사내연애#현실로맨스#로맨스#오피스로맨스#2030연애,12,"백묘,이로,탄",수요웹툰,9.885,65550
보물과 괴물의 도시,#성장드라마#다크판타지#오컬트#판타지#이능력배틀물#인외존재,12,이,목요웹툰,9.892,42918
운명을 보는 회사원,#직업드라마#소설원작#판타지,0,"임성욱,영완(映完",수요웹툰,9.976,123056
부캐인생,#드라마#서스펜스#인플루언서,15,"까를로스,징",목요웹툰,9.348,38330
투신전생기,#먼치킨#회귀#이능력배틀물#복수극#액션,12,청,일요웹툰,9.956,393214
"안녕, 나의 수집",#무해한#일상,0,하,"수, 일 연재",9.96,63950
천상의 주인,#소년왕도물#판타지,12,"MOOHAK,권러",금요웹툰,9.628,24515
고백 취소도 되나?,#청춘로맨스#폭스남#로맨스#하이틴,0,신,일요웹툰,9.56,372898
신의 재래,#성장드라마#2022 지상최대공모전#판타지#이능력배틀물#동양풍판타지#차원이동,15,홍무,일요웹툰,9.94,30478
백설을 위하여,#로맨스#소설원작,15,"김햐,러스츄,찬겨",일요웹툰,9.98,59579
프리드로우,#성장드라마#드라마#학원물#힘숨찐,15,전선,토요웹툰,8.579,1646934
전남편의 미친개를 길들였다,#로맨스#소설원작,15,"재겸,철무장미,자",금요웹툰,9.981,171277
장씨세가 호위무사,#판무#소설원작#먼치킨#사이다#무협/사극#힘숨찐,12,"김인호,조형",월요웹툰,9.89,302098
이계진입 리로디드,#소설원작#판타지,0,"임경배,차우민,쵸",토요웹툰,9.923,66510
필리아로제 - 가시왕관의 예언,#소설원작#레드아이스 스튜디오#판타지,0,"백화등,김영지,Ryut",화요웹툰,9.976,77153
마법사랑해,#판무#차원이동#판타지,12,"명랑,청설",목요웹툰,9.964,54316
아슈타르테,#로맨스#로판#소설원작,0,"SOON,안다",월요웹툰,9.941,93044
솔그린,#성장드라마#드라마#학원물,15,래,수요웹툰,9.46,3019
삼국지톡,#무협/사극,12,"무적핑크,이","화, 금 연재",9.264,164738
해시의 신루,#로맨스#소설원작#퓨전사극,15,"윤이수,명랑,INU",목요웹툰,9.965,108564
닥터앤닥터 병원일기,#육아물#일상#의학드라마,0,닥터베,수요웹툰,8.537,32532
수플레 팬 케이크,#성장드라마#음식&요리#이세계#판타지,12,호,수요웹툰,9.959,16541
더 캐슬 - 귀안의 신부,#소설원작#로맨스#직진남#선결혼후연애#로판,15,"진소예,피칸,혜",토요웹툰,9.947,49301
저 그런 인재 아닙니다,#소설원작#이세계#다크히어로#세계관#판타지,0,"머나,덴피,에",화요웹툰,9.978,176371
루크 비셸 따라잡기,#다정남#로맨스#소설원작,0,"앙꼬빵,에슈티,학뚜",월요웹툰,9.938,55920
봐선 안되는 것,#괴담#스릴러,15,수리,토요웹툰,9.882,59115
누가 나를 죽였을까,#서스펜스#성인웹툰#스릴러,18,,수요웹툰,9.915,30235
7FATES: CHAKHO,#판타지,12,HYB,토요웹툰,9.481,128557
크림슨 하트,#걸크러시#세계관#이세계#판타지,12,HYB,금요웹툰,9.622,15738
백수세끼,#드라마#감성드라마#음식&요리,0,치,월요웹툰,9.893,469609
두 번 사는 프로듀서,#직업드라마#소설원작#판타지#회귀#연예계,12,"여로운,왕십리글쟁",수요웹툰,9.917,55849
이별 후 사내 결혼,#오피스로맨스#로맨스#소설원작#사내연애,15,"미믹,이달리",월요웹툰,9.92,202578
수요웹툰의 나강림,#판타지,15,"송준혁,이경",수요웹툰,9.963,127230
별난식당,#성장드라마#직업드라마#드라마#힐링#음식&요리,0,HO,월요웹툰,9.968,88870
영앤리치가 아니야!,#개그#재벌,0,최삡,월요웹툰,9.968,40645
전지적 독자 시점,#세계관#아포칼립스#판타지#헌터물#레드아이스 스튜디오#게임판타지,15,"싱숑,슬리피-C,UM",수요웹툰,9.945,968767
스터디그룹,#블루스트링#힘숨찐#액션#학원물,15,"신형욱,유승",토요웹툰,9.939,619904
마왕의 고백,#성장드라마#인외존재#2021 지상최대공모전#판타지,12,탑,일요웹툰,9.976,119815
왕세자 입학도,#성장드라마#드라마#퓨전사극,0,무,토요웹툰,9.979,129352
첫사랑은 헤이트,#로맨스#캠퍼스로맨스,12,망,토요웹툰,9.9,12920
재생존경쟁,#게임판타지#판타지,15,"톨젠,미",수요웹툰,9.735,42045
만렙돌파,#고인물#먼치킨#게임판타지#판타지,15,"월요웹툰,그림,성불예",월요웹툰,9.892,238454
언덕 위의 제임스,#개그#4차원,0,쿠당,수요웹툰,9.924,153193
줄리에게,#로맨스,0,제,수요웹툰,9.76,21922
원주민 공포만화,#괴담#스릴러,15,원주,화요웹툰,9.754,295912
밀행,#로맨스#소설원작#퓨전사극,0,"아슬로,봉선,H.",수요웹툰,9.959,43614
연기는 처음인데요?!,#성장드라마#하이틴#로맨스#청춘로맨스#학원로맨스#연예계,0,"앨렴,홍로",금요웹툰,9.946,29818
완벽한 결혼의 정석,#계약연애#소설원작#혐관로맨스#회귀#로맨스#선결혼후연애,15,"제리볼,영,이범",목요웹툰,9.879,264851
위대한 겸상,#로맨스#음식&요리,0,홍,목요웹툰,9.932,114166
반귀,#로맨스#오컬트#인외존재,12,세,수요웹툰,9.975,114633
자취방 신선들,#드라마,0,마,목요웹툰,9.877,121246
권리행사자,#판타지,15,샤이,목요웹툰,9.726,16421
최강전설 강해효,#액션,15,최병,목요웹툰,7.52,622973
108명의 그녀들,#로맨스#로판#소설원작,0,"고송,레",일요웹툰,9.981,50796
달이 사라진 밤,#2020 지상최대공모전#로맨스#퓨전사극#혐관로맨스,15,황지,화요웹툰,9.878,32950
만능잡캐,#먼치킨#아포칼립스#판타지#고인물#게임판타지,15,"그림,홍실,목요웹",목요웹툰,9.753,111470
짝사랑의 마침표,#짝사랑#로맨스#하이틴,0,숭,화요웹툰,9.975,261093
어느 백작 영애의 이중생활,#소설원작#로맨스코미디#로맨스#성별반전#로판,0,"Jeu,최아리,킴",수요웹툰,9.964,49454
나랑X할래?,#로맨스,15,"진자,정",토요웹툰,9.947,151330
재벌집 막내아들,#타임슬립#회귀#드라마#드라마&영화 원작웹툰#복수극#재벌#빙의,12,"김병관,JP,산경(山景",목요웹툰,9.978,260422
호랑신랑뎐,#동물#판타지#연상연하#무해한#힐링,0,고추참,"월, 목 연재",9.984,164686
1초,#드라마#직업드라마,0,"광운,시",금요웹툰,9.978,538679
오로지 너를 이기고 싶어,#학원로맨스#로맨스#로맨스코미디#하이틴,0,"아마도지,사",일요웹툰,9.944,458762
빅맨,#스포츠#농구#스포츠성장,0,하하,화요웹툰,9.705,122838
사변괴담,#좀비#빙의#스릴러#역사물#괴담,15,강태,화요웹툰,9.941,56909
쓰레기는 쓰레기통에!,#현실로맨스#로맨스#서스펜스#2021 지상최대공모전#계략여주,15,EDDiERiN,수요웹툰,9.978,250423
남편을 죽여줘요,#고자극로맨스#성인웹툰#로맨스#서스펜스#감성드라마#로판,18,"이연,그림,목요웹",목요웹툰,9.9,201816
THE 런웨이,#오피스로맨스#로맨스#소설원작#사내연애,15,"도미,녹두,Hirachel",목요웹툰,9.873,130144
환상연가,#로맨스#궁중로맨스#퓨전사극,0,반지,목요웹툰,9.966,90991
"행운을 빌어요, 용사님!",#회귀#로맨스#사내연애,0,송현,금요웹툰,9.936,26429
나쁜사람,#학원물#액션,12,둠,수요웹툰,8.92,394161
인피니티,#스포츠#스포츠성장,0,2,금요웹툰,9.858,55321
서울역 드루이드,#헌터물#소설원작#먼치킨#판타지,15,"진설우,활성곰,문성",금요웹툰,9.862,176027
슈퍼스타 천대리,#감성#소설원작#음악#연예계,0,"박경원,이재국,Do",월요웹툰,9.818,19614
우리 집 고양이 보고 갈래?,#동물#캠퍼스로맨스#2022 지상최대공모전#회귀#로맨스#무해한,15,삼,화요웹툰,9.984,92839
마녀의 심판은 꽃이 된다,#레드스트링#스릴러,12,"은백,서",목요웹툰,9.918,82980
하북팽가 막내아들,#회귀#소설원작#무협/사극#소년왕도물,15,"무향,스튜디오M,기",화요웹툰,9.882,102446
평화식당,#먼치킨#판타지,12,"서우서우,",금요웹툰,9.86,22964
리턴 투 플레이어,#소년왕도물#소설원작#먼치킨#아포칼립스#판타지#회귀#게임판타지,15,"엄키,세혼,인덱",월요웹툰,9.952,231062
완벽한 파트너,#로맨스#소설원작,0,"오하라,산",일요웹툰,9.972,56442
재앙의 날,#스릴러,15,"환상특급,이승",금요웹툰,9.903,27989
하루만 네가 되고 싶어,#최강자전#삼각관계#이세계#로맨스#직진남#2019 최강자전#역하렘,15,,화요웹툰,9.868,707470
아침을 지나 밤으로,#최강자전#2019 최강자전#판타지,0,손지,토요웹툰,9.94,74558
행성인간2: 행성의,#스릴러,15,조,수요웹툰,9.948,46673
존잘주의,#로맨스#학원물#역하렘,15,,토요웹툰,9.267,253379
은탄,#오컬트#먼치킨#다크히어로#판타지#동양풍판타지,15,김규,토요웹툰,9.977,124695
간첩 18세,#학원물#액션,15,"팀꿀빨,김주",토요웹툰,9.864,87068
고양이 타타,#드라마#힐링#무해한#동물,0,로,일요웹툰,9.958,115077
마섹남 - 마술하는 섹시한 남자,#소설원작#퓨전사극#현실로맨스#로맨스#동양풍판타지,12,"티르스,랑또,육시",일요웹툰,9.927,56013
지니오패스,#서스펜스#복수극#두뇌싸움#스릴러,15,공현,금요웹툰,9.922,28687
여신님의 호랑이 공략법,#로맨스#타임슬립#동양풍판타지#인외존재,15,"청라,아",일요웹툰,9.963,44480
불쌍해야 하는 남자,#드라마,15,윤,목요웹툰,9.693,9346
그 기사가 레이디로 사는 법,#빙의#소설원작#판타지,0,"아인,성혜림,lnk",금요웹툰,9.981,220813
입술이 예쁜 남자,#로맨스#소설원작,15,"고도,플라",월요웹툰,9.965,129116
여름의 너에게,#힐링#삼각관계#로맨스#학원로맨스,0,라라,금요웹툰,9.912,74292
로맨틱 태평수산,#로맨스,0,육일,목요웹툰,9.949,43543
옆집남자 친구,#캠퍼스로맨스#현실로맨스#로맨스#까칠남#청춘로맨스,0,꿀,수요웹툰,9.971,117733
무서운게 딱좋아!,#괴담#레트로#스릴러,0,이동,일요웹툰,9.811,149184
신혼부부 생활 백서,#계약연애#소설원작#현실로맨스#로맨스#2030연애#선결혼후연애,15,"이범배,문나",일요웹툰,9.964,43143
가상&RPG,#최강자전#판타지#2019 최강자전#고인물#게임판타지,12,주다,목요웹툰,9.833,57873
악의 등교,#학원물#소설원작#액션,15,"팀 더 지크,시원,산",수요웹툰,9.919,61498
